1*1cm,2*2cm
2.48,2.36
2.36,2.58
2.17,2.87
2.16,2.72
2.09,2.63
2.36,2.92
2.48,2.68
2.38,2.72
2.35,3.04
2.1,2.82
2.28,2.77
2.44,2.7
2.22,2.49
2.51,2.7
1.94,2.75
2.41,2.83
2.62,2.76
2.71,2.64
2.23,2.67
2.38,2.5
2.16,3.04
2.36,2.57
2.22,2.91
2.36,2.94
2.44,2.59
2.21,2.7
2.3,2.86
2.25,2.68
2.08,2.57
2.78,2.8
2.4,2.84
2.04,3.01
2.11,2.59
2.25,2.54
2.45,2.81
2.6,2.86
2.28,2.89
2.11,2.92
2.16,2.74
2.24,2.53
2.21,2.42
2.24,2.5
2.43,2.51
2.27,2.98
2.35,2.5
2.19,2.69
2.42,2.94
2.43,2.69
2.49,2.7
2.37,2.64